iter	Passed	Remaining
0	1	126
1	3	180
2	5	171
3	6	167
4	8	164
5	10	171
6	13	175
7	15	180
8	18	185
9	21	196
10	24	197
11	27	204
12	30	206
13	33	204
14	35	201
15	37	195
16	39	191
17	47	216
18	66	283
19	68	274
20	70	264
21	71	254
22	73	246
23	75	237
24	76	229
25	77	221
26	82	222
27	84	216
28	86	212
29	88	205
30	91	202
31	92	196
32	99	201
33	103	200
34	108	200
35	147	262
36	175	298
37	177	289
38	185	290
39	188	282
40	191	275
41	205	284
42	207	275
43	210	267
44	211	258
45	242	285
46	246	277
47	248	269
48	251	261
49	253	253
50	261	251
51	264	243
52	266	236
53	269	229
54	275	225
55	278	218
56	284	214
57	286	207
58	291	202
59	293	195
60	299	191
61	303	186
62	306	179
63	309	174
64	312	168
65	314	161
66	315	155
67	319	150
68	321	144
69	325	139
70	327	133
71	337	131
72	339	125
73	346	121
74	349	116
75	352	111
76	355	106
77	359	101
78	361	96
79	366	91
80	384	90
81	401	88
82	405	83
83	408	77
84	411	72
85	414	67
86	418	62
87	427	58
88	429	53
89	432	48
90	436	43
91	438	38
92	440	33
93	443	28
94	446	23
95	449	18
96	452	14
97	459	9
98	463	4
99	466	0
