iter	Passed	Remaining
0	113	112996
1	145	72363
2	161	53814
3	193	48192
4	206	41104
5	214	35558
6	228	32442
7	240	29834
8	241	26641
9	243	24086
10	244	21999
11	245	20252
12	247	18774
13	248	17519
14	258	16980
15	261	16088
16	265	15364
17	271	14817
18	272	14078
19	290	14222
20	295	13760
21	297	13220
22	299	12723
23	311	12680
24	314	12284
25	347	13004
26	352	12720
27	354	12312
28	356	11950
29	358	11589
30	395	12373
31	400	12125
32	425	12469
33	428	12161
34	461	12730
35	463	12418
36	467	12161
37	474	12012
38	479	11810
39	482	11584
40	488	11419
41	491	11209
42	494	10995
43	499	10853
44	504	10704
45	505	10489
46	507	10288
47	508	10087
48	525	10202
49	528	10047
50	530	9876
51	537	9798
52	539	9638
53	551	9653
54	552	9497
55	554	9341
56	555	9196
57	567	9209
58	569	9086
59	571	8951
60	575	8863
61	577	8730
62	578	8599
63	658	9625
64	678	9759
65	690	9764
66	692	9640
67	694	9516
68	696	9392
69	698	9278
70	712	9323
71	713	9201
72	715	9081
73	734	9184
74	735	9071
75	737	8966
76	740	8875
77	750	8865
78	752	8768
79	754	8681
80	756	8587
81	758	8496
82	760	8398
83	761	8306
84	764	8224
85	765	8140
86	777	8160
87	779	8079
88	781	7995
89	782	7913
90	784	7835
91	786	7759
92	788	7686
93	789	7613
94	791	7542
95	793	7476
96	799	7441
97	802	7386
98	835	7605
99	850	7657
100	853	7593
101	854	7523
102	856	7458
103	858	7392
104	859	7323
105	860	7255
106	861	7191
107	864	7136
108	866	7085
109	878	7110
110	884	7086
111	887	7033
112	890	6986
113	892	6933
114	894	6885
115	898	6846
116	899	6790
117	903	6751
118	904	6699
119	906	6646
120	907	6592
121	909	6542
122	911	6500
123	913	6450
124	915	6407
125	917	6361
126	932	6408
127	934	6369
128	937	6329
129	939	6289
130	941	6245
131	944	6208
132	951	6199
133	953	6165
134	955	6124
135	957	6081
136	958	6037
137	976	6102
138	982	6087
139	986	6057
140	987	6016
141	988	5972
142	989	5932
143	991	5892
144	992	5852
145	994	5817
146	996	5779
147	997	5742
148	998	5704
149	1000	5668
150	1001	5632
151	1003	5599
152	1005	5566
153	1007	5535
154	1009	5500
155	1011	5470
156	1013	5442
157	1014	5408
158	1016	5377
159	1019	5351
160	1023	5332
161	1029	5323
162	1030	5292
163	1062	5414
164	1063	5384
165	1066	5359
166	1069	5334
167	1088	5389
168	1098	5403
169	1115	5447
170	1118	5424
171	1120	5395
172	1122	5367
173	1124	5338
174	1126	5311
175	1130	5290
176	1138	5295
177	1140	5268
178	1142	5239
179	1147	5226
180	1150	5205
181	1153	5183
182	1161	5187
183	1169	5188
184	1187	5232
185	1190	5211
186	1195	5197
187	1201	5188
188	1203	5162
189	1204	5136
190	1205	5107
191	1206	5079
192	1207	5050
193	1208	5022
194	1210	4998
195	1212	4973
196	1214	4950
197	1217	4931
198	1222	4921
199	1228	4915
200	1235	4910
201	1237	4890
202	1240	4868
203	1241	4844
204	1244	4826
205	1248	4813
206	1250	4792
207	1258	4792
208	1261	4773
209	1263	4751
210	1265	4733
211	1273	4734
212	1275	4712
213	1277	4690
214	1278	4669
215	1291	4689
216	1312	4734
217	1314	4715
218	1316	4695
219	1319	4676
220	1321	4656
221	1322	4636
222	1325	4617
223	1330	4609
224	1332	4590
225	1334	4569
226	1335	4547
227	1336	4526
228	1338	4506
229	1339	4485
230	1341	4466
231	1343	4448
232	1347	4434
233	1383	4529
234	1385	4510
235	1387	4493
236	1390	4475
237	1391	4456
238	1393	4437
239	1397	4424
240	1401	4414
241	1404	4398
242	1406	4381
243	1409	4367
244	1413	4354
245	1417	4344
246	1419	4327
247	1421	4311
248	1431	4316
249	1433	4300
250	1435	4282
251	1436	4264
252	1438	4247
253	1440	4230
254	1451	4241
255	1454	4226
256	1456	4211
257	1460	4199
258	1462	4184
259	1464	4169
260	1467	4154
261	1469	4137
262	1471	4122
263	1476	4115
264	1477	4097
265	1488	4106
266	1489	4090
267	1491	4074
268	1493	4058
269	1494	4041
270	1504	4048
271	1507	4034
272	1509	4019
273	1511	4005
274	1527	4027
275	1534	4024
276	1536	4009
277	1537	3992
278	1538	3975
279	1539	3958
280	1553	3974
281	1557	3965
282	1559	3950
283	1560	3935
284	1562	3919
285	1565	3907
286	1567	3894
287	1571	3884
288	1577	3881
289	1583	3876
290	1586	3864
291	1588	3850
292	1592	3843
293	1599	3840
294	1623	3879
295	1626	3869
296	1629	3856
297	1631	3842
298	1636	3835
299	1640	3828
300	1642	3813
301	1643	3798
302	1698	3906
303	1703	3900
304	1709	3895
305	1714	3888
306	1718	3878
307	1724	3874
308	1726	3860
309	1731	3853
310	1734	3842
311	1736	3830
312	1738	3816
313	1750	3823
314	1760	3829
315	1770	3831
316	1771	3816
317	1772	3801
